status;duration;credit_history;purpose;amount;savings;employment_duration;installment_rate;personal_status_sex;other_debtors;present_residence;property;age;other_installment_plans;housing;number_credits;job;people_liable;telephone;foreign_worker;credit_risk
less than 0 DM;24;all credits at this bank paid back duly;retraining;2825;more than 1000 DM;4 between 7 yrs; less than  20;male : married or widowed;none;4 between 7 yrs;real estate;34;none;rent;3-Feb;skilled employee or official;3 or more;yes;no;good
less than 0 DM;18;no credits taken or all credits paid back duly;repairs;1239;more than 1000 DM;1 between 4 yrs; less than  20;male : married or widowed;none; more than  7 yrs;real estate;61;none;own;1;skilled employee or official;0 to 2;no;no;good
no checking account;18;no credits taken or all credits paid back duly;others;1216;unknown or no savings account; less than  1 yr; less than  20;female : non-single or male : single;none;4 between 7 yrs;building soc. savings agr. or life insurance;23;none;for free;1;skilled employee or official;0 to 2;yes;no;bad
more than 200 DM or salary for at least 1 year;24;no credits taken or all credits paid back duly;retraining;1258;unknown or no savings account;4 between 7 yrs; less than  20;male : married or widowed;none; less than  1 yr;unknown  or  no property;25;none;rent;1;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;18;all credits at this bank paid back duly;repairs;1864;less than 100 DM;1 between 4 yrs; less than  20;female : non-single or male : single;none;1 between 4 yrs;unknown  or  no property;30;none;rent;3-Feb;skilled employee or official;0 to 2;no;no;bad
more than 200 DM or salary for at least 1 year;24;no credits taken or all credits paid back duly;others;1474;less than 100 DM; less than  1 yr; less than  20;female : single;none;4 between 7 yrs;unknown  or  no property;33;none;rent;1;skilled employee or official;0 to 2;yes;no;good
no checking account;24;all credits at this bank paid back duly;retraining;1382;less than 100 DM;4 between 7 yrs; less than  20;male : married or widowed;none; less than  1 yr;unknown  or  no property;26;none;rent;3-Feb;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;12;no credits taken or all credits paid back duly;others;640;unknown or no savings account;1 between 4 yrs; less than  20;male : divorced or separated;none;1 between 4 yrs;unknown  or  no property;49;none;rent;1;unskilled - resident;0 to 2;no;no;good
between 0 and 200 DM;36;no credits taken or all credits paid back duly;furniture or equipment;3919;unknown or no savings account;1 between 4 yrs;25 between 35;male : married or widowed;none;1 between 4 yrs;unknown  or  no property;23;none;rent;1;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;9;all credits at this bank paid back duly;others;1224;unknown or no savings account;1 between 4 yrs;20 between 25;male : married or widowed;none; less than  1 yr;unknown  or  no property;30;none;rent;3-Feb;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;12;all credits at this bank paid back duly;furniture or equipment;2331;more than 1000 DM; more than  7 yrs; more than  35;male : married or widowed;co-applicant; more than  7 yrs;unknown  or  no property;49;none;rent;1;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;24;no credits taken or all credits paid back duly;car (new);6313;more than 1000 DM; more than  7 yrs;20 between 25;male : married or widowed;none; more than  7 yrs;building soc. savings agr. or life insurance;41;none;rent;1;manager or self-empl. or highly qualif. employee;3 or more;yes;no;good
no checking account;12;all credits at this bank paid back duly;furniture or equipment;385;unknown or no savings account;4 between 7 yrs; less than  20;female : non-single or male : single;none;4 between 7 yrs;unknown  or  no property;58;none;rent; more than  6;unskilled - resident;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;12;all credits at this bank paid back duly;furniture or equipment;1655;unknown or no savings account; more than  7 yrs;25 between 35;male : married or widowed;none; more than  7 yrs;unknown  or  no property;63;none;rent;3-Feb;unskilled - resident;0 to 2;yes;no;good
no checking account;15;no credits taken or all credits paid back duly;furniture or equipment;1053;unknown or no savings account; less than  1 yr; less than  20;female : single;none;1 between 4 yrs;unknown  or  no property;27;none;rent;1;skilled employee or official;0 to 2;no;yes;good
more than 200 DM or salary for at least 1 year;21;no credits taken or all credits paid back duly;furniture or equipment;3160;more than 1000 DM; more than  7 yrs; less than  20;male : married or widowed;none;4 between 7 yrs;car or other;41;none;rent;1;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;36;no credits taken or all credits paid back duly;others;3079;more than 1000 DM;1 between 4 yrs; less than  20;male : married or widowed;none; more than  7 yrs;unknown  or  no property;36;none;rent;1;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;12;all credits at this bank paid back duly;others;1163;between 100 and 500 DM;1 between 4 yrs; less than  20;male : married or widowed;none; more than  7 yrs;unknown  or  no property;44;none;rent;1;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;24;no credits taken or all credits paid back duly;car (new);2679;unknown or no savings account; less than  1 yr; less than  20;female : non-single or male : single;none; less than  1 yr;real estate;29;none;rent;1;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;48;all credits at this bank paid back duly;furniture or equipment;3578;more than 1000 DM; more than  7 yrs; less than  20;male : married or widowed;none; less than  1 yr;unknown  or  no property;47;none;rent;1;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;36;existing credits paid back duly till now;others;10875;unknown or no savings account; more than  7 yrs;25 between 35;male : married or widowed;none;1 between 4 yrs;building soc. savings agr. or life insurance;45;none;rent;3-Feb;skilled employee or official;3 or more;yes;no;good
no checking account;12;existing credits paid back duly till now;others;1344;unknown or no savings account;1 between 4 yrs; less than  20;male : married or widowed;none;1 between 4 yrs;unknown  or  no property;43;none;rent;3-Feb;unskilled - resident;3 or more;no;no;good
more than 200 DM or salary for at least 1 year;6;all credits at this bank paid back duly;furniture or equipment;1237;less than 100 DM;1 between 4 yrs; more than  35;female : non-single or male : single;none; less than  1 yr;car or other;27;none;rent;3-Feb;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;12;no credits taken or all credits paid back duly;furniture or equipment;3077;unknown or no savings account;1 between 4 yrs;25 between 35;male : married or widowed;none; more than  7 yrs;building soc. savings agr. or life insurance;52;none;rent;1;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;24;no credits taken or all credits paid back duly;furniture or equipment;2284;unknown or no savings account;4 between 7 yrs; less than  20;male : married or widowed;none;1 between 4 yrs;building soc. savings agr. or life insurance;28;none;rent;1;skilled employee or official;0 to 2;yes;no;good
less than 0 DM;12;no credits taken or all credits paid back duly;furniture or equipment;1567;unknown or no savings account;1 between 4 yrs; more than  35;female : non-single or male : single;none; less than  1 yr;building soc. savings agr. or life insurance;22;none;rent;1;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;24;existing credits paid back duly till now;others;2032;unknown or no savings account; more than  7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;real estate;60;none;own;3-Feb;skilled employee or official;0 to 2;yes;no;good
less than 0 DM;21;all credits at this bank paid back duly;car (used);2745;500 between 1000 DM;4 between 7 yrs;20 between 25;male : married or widowed;none;1 between 4 yrs;building soc. savings agr. or life insurance;32;none;rent;3-Feb;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;30;no credits taken or all credits paid back duly;furniture or equipment;1867;more than 1000 DM; more than  7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;building soc. savings agr. or life insurance;58;none;rent;1;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;36;no credits taken or all credits paid back duly;furniture or equipment;2299;between 100 and 500 DM; more than  7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;building soc. savings agr. or life insurance;39;none;rent;1;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;24;no credits taken or all credits paid back duly;car (used);929;more than 1000 DM;4 between 7 yrs; less than  20;male : married or widowed;none;1 between 4 yrs;building soc. savings agr. or life insurance;31;stores;rent;1;skilled employee or official;0 to 2;yes;no;good
between 0 and 200 DM;12;no credits taken or all credits paid back duly;furniture or equipment;3399;more than 1000 DM; more than  7 yrs;25 between 35;male : married or widowed;none;4 between 7 yrs;building soc. savings agr. or life insurance;37;none;rent;1;manager or self-empl. or highly qualif. employee;0 to 2;no;no;good
less than 0 DM;9;no credits taken or all credits paid back duly;car (used);2030;more than 1000 DM;4 between 7 yrs;25 between 35;male : married or widowed;none; less than  1 yr;building soc. savings agr. or life insurance;24;none;rent;1;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;21;all credits at this bank paid back duly;car (new);3275;unknown or no savings account; more than  7 yrs; more than  35;male : married or widowed;none; more than  7 yrs;building soc. savings agr. or life insurance;36;none;rent;1;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;24;all credits at this bank paid back duly;others;1940;500 between 1000 DM; more than  7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;unknown  or  no property;60;none;rent;1;skilled employee or official;0 to 2;yes;no;good
no checking account;21;all credits at this bank paid back duly;others;1602;unknown or no savings account; more than  7 yrs; less than  20;female : single;none;4 between 7 yrs;building soc. savings agr. or life insurance;30;none;rent;3-Feb;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;15;no credits taken or all credits paid back duly;furniture or equipment;1979;more than 1000 DM; more than  7 yrs; less than  20;male : married or widowed;none;1 between 4 yrs;building soc. savings agr. or life insurance;35;none;rent;1;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;24;all credits at this bank paid back duly;others;2022;unknown or no savings account;1 between 4 yrs; less than  20;female : non-single or male : single;none; more than  7 yrs;building soc. savings agr. or life insurance;37;none;rent;1;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;36;all credits at this bank paid back duly;furniture or equipment;3342;more than 1000 DM; more than  7 yrs; less than  20;male : married or widowed;none;1 between 4 yrs;building soc. savings agr. or life insurance;51;none;rent;1;skilled employee or official;0 to 2;yes;no;good
less than 0 DM;18;no credits taken or all credits paid back duly;others;5866;less than 100 DM;1 between 4 yrs;25 between 35;male : married or widowed;none;1 between 4 yrs;building soc. savings agr. or life insurance;30;none;rent;3-Feb;skilled employee or official;0 to 2;yes;no;good
between 0 and 200 DM;15;all credits at this bank paid back duly;car (new);2360;between 100 and 500 DM;1 between 4 yrs;25 between 35;male : married or widowed;none;1 between 4 yrs;building soc. savings agr. or life insurance;36;none;rent;1;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;15;all credits at this bank paid back duly;car (used);1520;more than 1000 DM; more than  7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;car or other;63;none;rent;1;skilled employee or official;0 to 2;no;no;good
no checking account;12;no credits taken or all credits paid back duly;others;3651;500 between 1000 DM;1 between 4 yrs; more than  35;male : married or widowed;none;4 between 7 yrs;car or other;31;none;rent;1;skilled employee or official;3 or more;no;no;good
more than 200 DM or salary for at least 1 year;24;all credits at this bank paid back duly;car (new);2346;unknown or no savings account;4 between 7 yrs; less than  20;male : married or widowed;none;4 between 7 yrs;building soc. savings agr. or life insurance;35;none;rent;3-Feb;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;36;existing credits paid back duly till now;furniture or equipment;4454;unknown or no savings account;1 between 4 yrs; less than  20;female : non-single or male : single;none; more than  7 yrs;unknown  or  no property;34;none;rent;3-Feb;skilled employee or official;0 to 2;no;no;good
no checking account;6;all credits at this bank paid back duly;others;666;500 between 1000 DM;4 between 7 yrs;20 between 25;female : non-single or male : single;none; more than  7 yrs;unknown  or  no property;39;none;rent;3-Feb;unskilled - resident;0 to 2;yes;no;good
less than 0 DM;24;existing credits paid back duly till now;others;1965;more than 1000 DM;1 between 4 yrs; less than  20;female : non-single or male : single;none; more than  7 yrs;building soc. savings agr. or life insurance;42;none;for free;3-Feb;skilled employee or official;0 to 2;yes;no;good
less than 0 DM;12;all credits at this bank paid back duly;others;1995;less than 100 DM; less than  1 yr; less than  20;male : married or widowed;none; less than  1 yr;building soc. savings agr. or life insurance;27;none;rent;1;skilled employee or official;0 to 2;no;no;good
less than 0 DM;30;no credits taken or all credits paid back duly;furniture or equipment;2991;more than 1000 DM; more than  7 yrs;25 between 35;female : non-single or male : single;none; more than  7 yrs;building soc. savings agr. or life insurance;25;none;rent;1;skilled employee or official;0 to 2;no;no;good
less than 0 DM;30;delay in paying off in the past;retraining;4221;unknown or no savings account;1 between 4 yrs;25 between 35;female : non-single or male : single;none; less than  1 yr;building soc. savings agr. or life insurance;28;none;rent;3-Feb;skilled employee or official;0 to 2;no;no;good
no checking account;9;no credits taken or all credits paid back duly;furniture or equipment;1364;unknown or no savings account;4 between 7 yrs;20 between 25;male : married or widowed;none; more than  7 yrs;unknown  or  no property;59;none;rent;1;skilled employee or official;0 to 2;no;no;good
less than 0 DM;18;all credits at this bank paid back duly;car (used);6361;unknown or no savings account; more than  7 yrs;25 between 35;male : married or widowed;none; less than  1 yr;real estate;41;none;rent;1;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;27;all credits at this bank paid back duly;car (used);4526;500 between 1000 DM; less than  1 yr; less than  20;male : married or widowed;none;1 between 4 yrs;unknown  or  no property;32;stores;rent;3-Feb;unskilled - resident;3 or more;yes;no;good
less than 0 DM;12;all credits at this bank paid back duly;furniture or equipment;3573;unknown or no savings account;1 between 4 yrs; more than  35;female : non-single or male : single;none; less than  1 yr;unknown  or  no property;23;none;rent;1;unskilled - resident;0 to 2;no;no;good
less than 0 DM;36;existing credits paid back duly till now;retraining;4455;unknown or no savings account;1 between 4 yrs;25 between 35;male : divorced or separated;none;1 between 4 yrs;unknown  or  no property;30;stores;rent;3-Feb;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;bad
no checking account;9;no credits taken or all credits paid back duly;car (used);2136;unknown or no savings account;1 between 4 yrs;20 between 25;male : married or widowed;none;1 between 4 yrs;unknown  or  no property;25;none;rent;1;skilled employee or official;0 to 2;no;no;good
less than 0 DM;42;all credits at this bank paid back duly;retraining;5954;unknown or no savings account;4 between 7 yrs;25 between 35;female : non-single or male : single;none; less than  1 yr;unknown  or  no property;41;bank;rent;3-Feb;unskilled - resident;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;24;all credits at this bank paid back duly;car (used);3777;500 between 1000 DM;1 between 4 yrs; less than  20;male : married or widowed;none; more than  7 yrs;unknown  or  no property;40;none;rent;1;skilled employee or official;0 to 2;yes;no;good
no checking account;15;no credits taken or all credits paid back duly;retraining;806;unknown or no savings account;1 between 4 yrs; less than  20;female : non-single or male : single;none; more than  7 yrs;car or other;22;none;rent;1;unskilled - resident;0 to 2;no;no;good
less than 0 DM;24;existing credits paid back duly till now;retraining;4712;more than 1000 DM;1 between 4 yrs; less than  20;male : married or widowed;none;1 between 4 yrs;car or other;34;bank;rent;3-Feb;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;good
less than 0 DM;36;existing credits paid back duly till now;others;7432;unknown or no savings account;1 between 4 yrs;25 between 35;female : non-single or male : single;none;1 between 4 yrs;car or other;54;none;for free;1;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;24;all credits at this bank paid back duly;furniture or equipment;1851;unknown or no savings account;4 between 7 yrs; less than  20;female : single;guarantor;1 between 4 yrs;building soc. savings agr. or life insurance;33;none;rent;3-Feb;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;24;no credits taken or all credits paid back duly;others;1393;unknown or no savings account;1 between 4 yrs;25 between 35;male : married or widowed;guarantor;1 between 4 yrs;unknown  or  no property;31;none;rent;1;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;12;all credits at this bank paid back duly;retraining;1412;unknown or no savings account;1 between 4 yrs; less than  20;female : non-single or male : single;guarantor;1 between 4 yrs;unknown  or  no property;29;none;rent;3-Feb;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;18;no credits taken or all credits paid back duly;furniture or equipment;1473;unknown or no savings account; less than  1 yr;20 between 25;female : single;none; more than  7 yrs;unknown  or  no property;39;none;rent;1;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;24;no credits taken or all credits paid back duly;furniture or equipment;1533;unknown or no savings account; less than  1 yr; less than  20;female : non-single or male : single;none;4 between 7 yrs;building soc. savings agr. or life insurance;38;stores;rent;1;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;12;all credits at this bank paid back duly;repairs;2012;more than 1000 DM;4 between 7 yrs; less than  20;female : non-single or male : single;none;1 between 4 yrs;building soc. savings agr. or life insurance;61;none;rent;1;skilled employee or official;0 to 2;no;no;good
no checking account;15;no credits taken or all credits paid back duly;others;3959;unknown or no savings account;1 between 4 yrs;20 between 25;female : non-single or male : single;none;1 between 4 yrs;car or other;29;none;rent;1;skilled employee or official;0 to 2;yes;no;bad
no checking account;6;no credits taken or all credits paid back duly;car (used);428;unknown or no savings account; more than  7 yrs;25 between 35;female : non-single or male : single;none; less than  1 yr;car or other;49;bank;rent;1;skilled employee or official;0 to 2;yes;no;good
less than 0 DM;12;all credits at this bank paid back duly;others;2366;between 100 and 500 DM;4 between 7 yrs;20 between 25;male : divorced or separated;none;4 between 7 yrs;building soc. savings agr. or life insurance;36;none;rent;1;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;12;no credits taken or all credits paid back duly;car (used);763;unknown or no savings account;1 between 4 yrs; less than  20;female : non-single or male : single;none; less than  1 yr;unknown  or  no property;26;none;rent;1;skilled employee or official;0 to 2;yes;no;good
